Major Group of Species,Estimated Number of described species,Number of species evaluated by  2013,threatened species_1998,threatened species_2000,threatened species_2002,threatened species_2003,threatened species_2004,threatened species_2006,threatened species_Y2007,threatened species_Y2008,threatened species_Y2009,threatened species_Y2010,threatened species_Y2011,threatened species_Y2012,threatened species_Y2013,threatened species_Y2014,threatened species_Y2015,threatened species_Y2016,threatened species_Y2017,Species evaluted in 2017_as % of  species described
Mammals,5506,5506,1096,1130,1137,1130,1101,1093,1094,1141,1142,1131,1138,1139,1143,1199,1197,1194,1204,1
Birds,10065,10065,1107,1183,1192,1194,1213,1206,1217,1222,1223,1240,1253,1313,1308,1373,1375,1460,1469,1
Reptiles,9831,4204,253,296,293,293,304,341,422,423,469,594,772,807,879,927,944,1079,1215,1
Amphibians,7044,6409,124,146,157,157,1770,1811,1808,1905,1895,1898,1917,1933,1950,1957,1994,2068,2100,1
Fishes,32700,11172,734,752,742,750,800,1171,1201,1275,1414,1851,2028,2058,2110,2222,2271,2359,2386,0
Insects,1000000,4610,537,555,557,553,559,623,623,626,711,733,741,829,896,993,1046,1268,1414,0
Molluscs,85000,6809,920,938,939,967,974,975,978,978,1036,1288,1673,1857,1898,1950,1950,1984,2187,0
Crustaceans,47000,3163,407,408,409,409,429,459,460,606,606,596,596,596,723,1950,1950,732,732,0
Corals,2175,856,1,1,1,1,1,1,4,235,235,235,235,236,235,235,237,237,237,0
Arachnids,102248,35,11,11,11,11,11,11,11,18,18,19,19,20,21,163,164,166,170,0
Velvet Worms,165,11,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
Horseshoe Crabs,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Mosses,16236,102,,80,80,80,80,80,80,82,82,80,80,76,76,76,76,76,76,0
Ferns and Allies,12000,342,,,,111,140,139,139,139,139,148,163,167,187,194,197,217,246,0
Gymnosperms,1052,1010,142,141,142,304,305,306,321,323,322,371,377,374,399,400,400,400,401,1
Flowiering Plants,268000,16766,5186,5390,5492,6279,7796,7865,7899,7904,7948,8116,8527,8764,9394,9905,10551,10941,11773,0
Green Algae,4242,13,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Red Algae,6144,58,,,,,,,9,9,9,9,9,9,9,9,9,9,9,0
Lichens,17000,2,,,,2,2,2,2,2,2,2,2,2,2,4,7,7,10,0
Mushrooms,31496,1,,,,,,1,1,1,1,1,1,1,1,1,22,21,33,0
Brown Algae,3127,15,,,,,,,6,6,6,6,6,6,6,6,6,6,6,0
