Station,District,Elevation(masl),Max,Min,Year
Baitadi Gothalapani ,Baitadi,1352,24.8,7.1,2017
Patan West ,Baitadi,1292,26.4,14,2017
Dadeldhura,Dadeldhura,1879,22,12,2017
Mahendra Nagar,Kanchanpur,197,30.8,18,2017
Darchula,Darchula,945,27,15,2017
Dainsili Sidhhapur ,Baitadi,2083,21,14,2017
Darchula New,Darchula,887,29.1,15,2017
Patan new,Baitadi,1299,25,14,2017
Silgadhi Doti,Doti,1309,26.4,14,2017
Bajura Martadi ,Bajura,1598,24.5,13,2017
Tikapur,Kailali,149,31.8,17,2017
Dhangadhi Attariya ,Kailali,184,31.2,18,2017
Godavari West ,Kailali,280,31.1,20,2017
Mangalsen,Achham,1310,25.7,14,2017
Dipayal Doti ,Doti,563,30.9,16,2017
Oli Gaun Patkani ,Achham,989,28.1,14,2017
Gokuleshwar,Kailali,761,NA,NA,2017
Chainpur Bajhang AWS,,1405,NA,NA,2017
Jumla,Jumla,2363,21.7,6.3,2017
Gam Shree Nagar,Mugu,2113,23.7,11,2017
Rara,Mugu,2989,NA,4.1,2017
Nagma,Kalikot,2017,22.7,9.1,2017
Dipal Gaun,Jumla,2422,22.4,5.5,2017
Simikot,Humla,2993,16.3,6.3,2017
Dunai,Dolpa,2098,20.8,11,2017
Manma,kalikot,1729,23.5,9.7,2017
Kaigaun,Dolpa,2683,NA,NA,2017
Jumla Airport,Jumla,2384,21.8,3.6,2017
Pusma Camp,Surkhet,953,NA,NA,2017
Dailekh,Dailekh,1394,26,16,2017
"Surkhet Airport, Birendranagar ",Surkhet,683,29.5,16,2017
Gulariya,Bardiya,126,30.9,19,2017
Khajura Nepalganj ,Banke,129,31.6,19,2017
Nepalgunj Reg Off ,Banke,141,31.1,20,2017
Rani Jaruwa Nursery,Bardiya,145,31.3,18,2017
Sikta,Banke,161,31.9,18,2017
Mehalkuna,Surkhet,464,NA,16,2017
Libang Gaun,Rolpa,1314,26.6,14,2017
Bijuwar Tar,Pyuthan,835,29.9,16,2017
Tulsipur,Dang,683,NA,NA,2017
Salyan Bazar,Salyan,1557,25.9,15,2017
Chaurjhari Tar,Rukum,863,28.9,15,2017
Musikot Rukumkot ,Rukum,1412,25.3,14,2017
Ghorai Dang ,Dang,663,29.3,17,2017
Jomsom,Mustang,0,18.4,6.1,2017
Jomsom Resort,Mustang,2846,NA,NA,2017
Thakmarpha,Mustang,2655,18.1,3.9,2017
