Station,District,Elevation(masl),Max,Min,Year
Baitadi Gothalapani ,Baitadi,1352.0,24.8,7.1,2017
Patan West ,Baitadi,1292.0,26.4,14.0,2017
Dadeldhura,Dadeldhura,1879.0,22.0,12.0,2017
Mahendra Nagar,Kanchanpur,197.0,30.8,18.0,2017
Darchula,Darchula,945.0,27.0,15.0,2017
Dainsili Sidhhapur ,Baitadi,2083.0,21.0,14.0,2017
Darchula New,Darchula,887.0,29.1,15.0,2017
Patan new,Baitadi,1299.0,25.0,14.0,2017
Silgadhi Doti,Doti,1309.0,26.4,14.0,2017
Bajura Martadi ,Bajura,1598.0,24.5,13.0,2017
Tikapur,Kailali,149.0,31.8,17.0,2017
Dhangadhi Attariya ,Kailali,184.0,31.2,18.0,2017
Godavari West ,Kailali,280.0,31.1,20.0,2017
Mangalsen,Achham,1310.0,25.7,14.0,2017
Dipayal Doti ,Doti,563.0,30.9,16.0,2017
Oli Gaun Patkani ,Achham,989.0,28.1,14.0,2017
Jumla,Jumla,2363.0,21.7,6.3,2017
Gam Shree Nagar,Mugu,2113.0,23.7,11.0,2017
Nagma,Kalikot,2017.0,22.7,9.1,2017
Dipal Gaun,Jumla,2422.0,22.4,5.5,2017
Simikot,Humla,2993.0,16.3,6.3,2017
Dunai,Dolpa,2098.0,20.8,11.0,2017
Manma,kalikot,1729.0,23.5,9.7,2017
Jumla Airport,Jumla,2384.0,21.8,3.6,2017
Dailekh,Dailekh,1394.0,26.0,16.0,2017
"Surkhet Airport, Birendranagar ",Surkhet,683.0,29.5,16.0,2017
Gulariya,Bardiya,126.0,30.9,19.0,2017
Khajura Nepalganj ,Banke,129.0,31.6,19.0,2017
Nepalgunj Reg Off ,Banke,141.0,31.1,20.0,2017
Rani Jaruwa Nursery,Bardiya,145.0,31.3,18.0,2017
Sikta,Banke,161.0,31.9,18.0,2017
Libang Gaun,Rolpa,1314.0,26.6,14.0,2017
Bijuwar Tar,Pyuthan,835.0,29.9,16.0,2017
Salyan Bazar,Salyan,1557.0,25.9,15.0,2017
Chaurjhari Tar,Rukum,863.0,28.9,15.0,2017
Musikot Rukumkot ,Rukum,1412.0,25.3,14.0,2017
Ghorai Dang ,Dang,663.0,29.3,17.0,2017
Jomsom,Mustang,0.0,18.4,6.1,2017
Thakmarpha,Mustang,2655.0,18.1,3.9,2017
Baglung,Baglung,964.0,28.1,15.0,2017
Chhoser,Mustang,3886.0,14.4,0.5,2017
Tansen,Palpa,1183.0,26.3,13.0,2017
Bhairahawa Airport,Rupandehi,108.0,31.5,19.0,2017
Dumkauli,Nawalpur,183.0,33.6,19.0,2017
Bhairahawa Agric ,Rupandehi,112.0,31.7,19.0,2017
Parasi,Nawalparasi,112.0,31.4,19.0,2017
Khanchikot,Arghakhachi,1801.0,21.9,13.0,2017
Taulihawa,Kapilvastu,106.0,31.1,19.0,2017
Tamghas,Gulmi,1547.0,23.9,12.0,2017
Semari,Nawalparasi,110.0,32.1,19.0,2017
Lumbini,Rupandehi,95.0,31.8,19.0,2017
Sandhikharka,Arghakhachi,1030.0,27.6,14.0,2017
Khudi Bazar,Lamjung,838.0,28.4,15.0,2017
Pokhara Airport,Kaski,803.9,27.9,16.0,2017
Syangja,Syangja,871.0,28.2,16.0,2017
Bandipur,Tanahu,991.0,27.3,15.0,2017
Gorkha Birenchowk ,Gorkha,724.0,28.1,17.0,2017
Malepatan Pokhara ,Kaski,859.0,27.9,15.0,2017
Lumle,Kaski,1738.0,20.7,12.0,2017
Khairini Tar,Tanahun,515.0,30.1,17.0,2017
Dandaswara,Syangja,1316.0,24.4,15.0,2017
Ghalekharka,Kaski,1665.0,21.9,13.0,2017
Begnas,Kaski,682.0,29.6,16.0,2017
Rampur,Chitwan,189.0,31.0,18.0,2017
Daman,Makwanpur,2265.0,19.3,9.0,2017
Hetauda N F I ,Makwanpur,452.0,29.6,18.0,2017
Simara Airport,Bara,137.0,30.9,18.0,2017
Parwanipur,Bara,87.0,30.5,19.0,2017
Birganj,Parsa,67.0,31.8,20.0,2017
Bharatpur,Chitwan,216.0,31.8,20.0,2017
Kakani,Nuwakot,2002.0,21.1,12.0,2017
Chautara,Sindhupalchok,1552.0,25.4,14.0,2017
Sarmathang,Sindhupalchok,2574.0,16.4,7.8,2017
Khumaltar,Lalitpur,1334.0,25.4,13.0,2017
Kathmandu Airport,,1337.0,26.2,13.0,2017
Dhunibesi,Dhading,991.0,27.8,16.0,2017
Panipokhari Kathmandu ,Kathmandu,1329.0,29.2,14.0,2017
Bhaktapur,Bhaktapur,1315.0,26.9,12.0,2017
Pansayakhola,Nuwakot,1982.0,20.8,13.0,2017
Changu Narayan,Bhaktapur,1502.0,24.8,13.0,2017
Khokana,Lalitpur,1309.0,25.9,12.0,2017
Charikot,Dolakha,2132.0,23.8,10.0,2017
Jiri,Dolakha,1877.0,21.4,8.8,2017
Janakpur Airport,Dhanusha,76.0,31.2,20.0,2017
Hardinath,Dhanusha,93.0,30.4,20.0,2017
Manusmara,Sarlahi,90.0,30.7,19.0,2017
Karmaiya,Sarlahi,139.0,31.7,20.0,2017
Manthali,Ramechhap,497.0,31.2,17.0,2017
Kabre,Dolakha,1755.0,23.1,13.0,2017
Phattepur,Saptari,101.0,32.1,20.0,2017
Lahan,Siraha,110.0,31.1,20.0,2017
Siraha,,63.0,32.1,14.0,2017
Diktel,Khotang,1612.0,23.0,14.0,2017
Rajbiraj,Saptari,68.0,30.0,21.0,2017
Chainpur East ,Sankhuwasabha,1277.0,25.8,15.0,2017
Pakhribas,Dhankuta,1720.0,21.5,13.0,2017
Dhankuta,Dhankuta,1192.0,25.5,16.0,2017
Dharan Bazar,sunsari,310.0,30.5,21.0,2017
Biratnagar Airport,Morang,72.0,31.1,20.0,2017
Tarahara,Sunsari,120.0,31.3,19.0,2017
Khadbari,Sankhuwasabha,1064.0,24.9,17.0,2017
Taplejung,Taplejung,1744.0,22.9,13.0,2017
Ilam Tea Estate,Ilam,1208.0,24.3,12.0,2017
Damak,Jhapa,119.0,31.6,19.0,2017
Kechana,Jhapa,71.0,30.8,20.0,2017
Nuwakot,Nuwakot,966.0,27.9,17.0,2017
Chisapani Karnali ,Kailali,201.0,30.2,20.0,2017
Jyamirebari,,1525.0,23.0,13.0,2017
Lete,Mustang,2617.0,17.6,7.2,2017
Okhaldhunga,,1725.0,22.8,13.0,2017
Baitadi Gothalapani ,Baitadi,1352.0,26.0,9.4,2018
Patan West ,Baitadi,1292.0,25.8,13.0,2018
Dadeldhura,Dadeldhura,1879.0,21.8,12.0,2018
Mahendra Nagar,Kanchanpur,197.0,30.2,18.0,2018
Darchula,Darchula,945.0,26.3,14.0,2018
Darchula New,Darchula,887.0,28.6,15.0,2018
Patan new,Baitadi,1299.0,24.7,13.0,2018
Silgadhi Doti,Doti,1309.0,26.2,14.0,2018
Bajura Martadi ,Bajura,1598.0,24.1,12.0,2018
Tikapur,Kailali,149.0,31.2,17.0,2018
Dhangadhi Attariya ,Kailali,184.0,30.8,18.0,2018
Godavari West ,Kailali,280.0,31.3,20.0,2018
Dipayal Doti ,Doti,563.0,30.9,15.0,2018
Oli Gaun Patkani ,Achham,989.0,29.1,14.0,2018
Chainpur Bajhang AWS,,1405.0,26.0,13.0,2018
Jumla,Jumla,2363.0,21.8,5.6,2018
Gam Shree Nagar,Mugu,2113.0,24.0,10.0,2018
Rara,Mugu,2989.0,15.8,3.7,2018
Nagma,Kalikot,2017.0,22.5,8.2,2018
Dipal Gaun,Jumla,2422.0,23.4,4.9,2018
Simikot,Humla,2993.0,16.0,5.6,2018
Dunai,Dolpa,2098.0,22.1,9.9,2018
Manma,kalikot,1729.0,23.4,10.0,2018
Jumla Airport,Jumla,2384.0,21.6,4.6,2018
Dailekh,Dailekh,1394.0,26.5,14.0,2018
"Surkhet Airport, Birendranagar ",Surkhet,683.0,29.0,15.0,2018
Gulariya,Bardiya,126.0,30.4,18.0,2018
Khajura Nepalganj ,Banke,129.0,30.9,18.0,2018
Nepalgunj Reg Off ,Banke,141.0,30.2,19.0,2018
Sikta,Banke,161.0,31.2,18.0,2018
Mehalkuna,Surkhet,464.0,30.5,16.0,2018
Libang Gaun,Rolpa,1314.0,26.6,14.0,2018
Bijuwar Tar,Pyuthan,835.0,29.5,15.0,2018
Tulsipur,Dang,683.0,27.7,17.0,2018
Salyan Bazar,Salyan,1557.0,25.0,14.0,2018
Chaurjhari Tar,Rukum,863.0,28.7,14.0,2018
Musikot Rukumkot ,Rukum,1412.0,25.0,13.0,2018
Ghorai Dang ,Dang,663.0,28.9,16.0,2018
Jomsom,Mustang,0.0,17.8,5.6,2018
Thakmarpha,Mustang,2655.0,17.6,3.6,2018
Kushma,Parbat,900.0,28.5,15.0,2018
Tansen,Palpa,1183.0,25.8,15.0,2018
Bhairahawa Airport,Rupandehi,108.0,30.7,18.0,2018
Dumkauli,Nawalpur,183.0,32.7,19.0,2018
Bhairahawa Agric ,Rupandehi,112.0,31.0,19.0,2018
Parasi,Nawalparasi,112.0,31.8,19.0,2018
Khanchikot,Arghakhachi,1801.0,21.2,13.0,2018
Taulihawa,Kapilvastu,106.0,30.1,19.0,2018
Tamghas,Gulmi,1547.0,23.4,12.0,2018
Semari,Nawalparasi,110.0,30.9,18.0,2018
Lumbini,Rupandehi,95.0,30.9,18.0,2018
Anp Chour,,738.0,30.4,15.0,2018
Sandhikharka,Arghakhachi,1030.0,26.9,14.0,2018
Pokhara Airport,Kaski,803.9,27.3,16.0,2018
Syangja,Syangja,871.0,27.3,15.0,2018
Bandipur,Tanahu,991.0,26.7,14.0,2018
Gorkha Birenchowk ,Gorkha,724.0,27.7,17.0,2018
Chapakot,Syangja,617.0,29.5,17.0,2018
Malepatan Pokhara ,Kaski,859.0,27.4,14.0,2018
Lumle,Kaski,1738.0,20.1,12.0,2018
Khairini Tar,Tanahun,515.0,29.6,17.0,2018
Dandaswara,Syangja,1316.0,23.6,15.0,2018
Ghalekharka,Kaski,1665.0,20.9,12.0,2018
Begnas,Kaski,682.0,28.6,16.0,2018
Bhorletar,Lamjung,469.0,30.1,17.0,2018
Panchase,Parbat,2492.0,17.5,8.1,2018
Humde,Manang,3401.0,13.8,-1.8,2018
Rampur,Chitwan,189.0,30.6,18.0,2018
Daman,Makwanpur,2265.0,18.6,8.2,2018
Hetauda N F I ,Makwanpur,452.0,29.2,17.0,2018
Simara Airport,Bara,137.0,30.7,18.0,2018
Parwanipur,Bara,87.0,30.2,19.0,2018
Bharatpur,Chitwan,216.0,31.1,19.0,2018
Kakani,Nuwakot,2002.0,20.4,11.0,2018
Khumaltar,Lalitpur,1334.0,24.9,12.0,2018
