Agricultural Commodities,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13
Food grains,6465.0,6985.0,7172.0,7248.0,7361.0,7745.0,7767.0,7656.0,7329.0,8069.0,8115.0,7763.0,8615.0,12293.0,11330.0
Paddy,3710.0,4030.0,4216.0,4165.0,4133.0,4456.0,4290.0,4209.0,3681.0,4299.0,4524.0,4023.0,4460.0,5072.0,4505.0
Maize,1346.0,1445.0,1484.0,1511.0,1569.0,1590.0,1716.0,1734.0,1820.0,1879.0,1931.0,1855.0,2067.0,2179.0,1999.0
Wheat,1086.0,1184.0,1158.0,1258.0,1344.0,1387.0,1442.0,1394.0,1515.0,1572.0,1344.0,1557.0,1746.0,1846.0,1727.0
Millet (Kodo),291.0,295.0,283.0,283.0,283.0,283.0,290.0,291.0,285.0,291.0,293.0,300.0,303.0,3151.0,3055.0
Barley,32.0,31.0,30.0,31.0,32.0,28.0,29.0,28.0,28.0,28.0,23.0,28.0,30.0,35.0,34.0
Cash Crops,3202.0,3428.0,3678.0,3876.0,4020.0,4102.0,4276.0,4597.0,4698.0,4694.0,4933.0,5183.0,5719.0,5710.0,5817.0
Sugarcane,1972.0,2103.0,2212.0,2248.0,2343.0,2305.0,2376.0,2463.0,2600.0,2485.0,2354.0,2495.0,2932.0,2930.0,2930.0
Oilseeds,120.0,123.0,132.0,135.0,125.0,133.0,142.0,139.0,136.0,134.0,135.0,155.0,175.0,179.0,179.0
Tobacco,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0
Jute,15.0,15.0,16.0,16.0,17.0,17.0,16.0,17.0,17.0,17.0,18.0,13.0,13.0,14.0,16.0
Potato,1091.0,1183.0,1314.0,1473.0,1531.0,1643.0,1739.0,1975.0,1943.0,2055.0,2424.0,2518.0,2597.0,2584.0,2690.0
Other Crops,2029.0,2175.0,2383.0,2463.0,2585.0,2679.0,2903.0,2992.0,3164.0,3457.0,3713.0,3993.0,4336.0,4672.0,4623.0
Pulses,229.0,237.0,243.0,250.0,257.0,265.0,271.0,267.0,274.0,270.0,255.0,262.0,318.0,320.0,357.0
Fruits,456.0,447.0,487.0,474.0,519.0,511.0,553.0,535.0,575.0,631.0,686.0,707.0,794.0,1030.0,939.0
Vegetables,1343.0,1490.0,1653.0,1738.0,1800.0,1890.0,2065.0,2190.0,2299.0,2539.0,2754.0,3004.0,3204.0,3299.0,3302.0
Tea,4.0,5.0,6.0,7.0,8.0,12.0,13.0,13.0,15.0,16.0,16.0,17.0,17.0,19.0,21.0
Coffee,0.05,0.07,0.09,0.14,0.19,0.22,0.25,0.3,0.46,0.28,0.27,0.31,0.4,0.4,0.4
Cotton,0.68,0.74,0.46,0.15,0.06,0.01,0.01,0.06,0.05,0.07,0.06,0.11,0.11,0.13,0.15
Honey,0.139,0.15,0.16,0.53,0.53,0.58,0.6,0.65,0.65,1.0,0.85,1.0,1.2,1.5,1.6
Cocoon,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.04
Spice Crops,108.16,110.45,124.27,132.38,201.06,219.86,223.26,226.91,238.64,243.1,276.0,321.23,357.21,364.3,345.1
Cardamom,4.33,6.53,6.08,6.18,5.68,5.98,6.07,6.65,6.79,7.1,7.0,5.23,5.21,6.0,5.8
Turmeric,8.43,10.59,13.06,15.17,21.59,23.03,23.23,23.57,25.4,25.0,32.0,38.0,41.0,35.3,35.7
Ginger,81.8,74.99,84.37,87.91,140.06,150.59,152.7,154.2,160.58,161.0,179.0,211.0,240.0,255.0,235.0
Chilies,4.82,6.36,6.53,7.08,10.87,11.97,12.62,13.78,15.57,19.0,24.0,28.0,27.0,27.0,27.9
Garlic,8.78,11.97,14.23,16.03,22.67,28.28,28.61,28.72,30.31,31.0,34.0,39.0,44.0,41.0,40.7
